4202,,,4201,,,4198,,,4203,,,4204,,,4206,,,4207,,
x0/R,alpha,v,x0/R,alpha,v,x0/R,alpha,v,x0/R,alpha,v,x0/R,alpha,v,x0/R,alpha,v,x0/R,alpha,v
,deg,cm/s,,deg,cm/s,,deg,cm/s,,deg,cm/s,,deg,cm/s,,deg,cm/s,,deg,cm/s
0.131,54.6,1049.1,0.112,52,1021,0.161,55.4,889.6,0.186,47.7,704.2,0.17,52.4,1456,0.228,46.5,649,0.214,43.7,709.5
0.14,51.7,527.5,0.19,46.8,449.4,0.163,53.7,770.2,0.244,49.6,423.8,0.201,46.5,641.5,0.255,46.9,483.9,0.216,47,632
0.16,56.6,1396.7,0.199,49.9,599.6,0.178,55,779.1,0.26,47.4,358.1,0.222,50.3,585.6,0.263,49,527,0.224,43.2,705.7
0.161,51.4,693.8,0.204,48.1,413.6,0.207,50.9,538.4,0.265,47.9,360.2,0.236,49.2,465.2,0.286,45.2,350.5,0.237,46.8,516.3
0.169,52.2,789.3,0.211,48,510.7,0.219,50.5,561.2,0.268,47.4,335.8,0.242,46.6,487.4,0.287,44.7,449.7,0.265,48.8,537.2
0.169,51.3,517.4,0.214,49.4,406.7,0.227,53.5,629.4,0.275,49.1,390.2,0.243,47.8,399.8,0.289,45.9,400.9,0.273,40.3,347.1
0.183,52,391.6,0.23,47.7,316.5,0.247,50.9,538.4,0.278,45.8,391.3,0.253,50.9,506,0.294,45.6,282,0.298,45.4,394.8
0.195,51.1,367.8,0.233,46.1,307,0.248,52.5,404.3,0.293,40.5,211,0.273,49.8,423.1,0.308,50.3,538.8,0.301,46.3,449.3
0.203,50.2,646.1,0.238,48.6,343.1,0.252,48.8,375.3,0.294,45.2,277.8,0.295,47.7,371.9,0.308,46,418.5,0.303,44.9,375.4
0.209,45.7,416.7,0.245,47.3,303.3,0.276,50.3,465.9,0.303,45.5,282.5,0.299,47.2,351.6,0.317,45.4,335.9,0.306,43.7,311.1
0.221,50.2,320.6,0.264,46.2,251.2,0.279,52.9,403.4,0.305,49.6,321.6,0.301,45.6,307.7,0.324,47.3,437.1,0.312,40.9,323.2
0.264,47,245.4,0.27,47.7,332.8,0.289,55.1,405.2,0.305,46.8,266.6,0.302,48.1,358.3,0.326,45.1,348.3,0.322,45.7,345
0.265,52,312.7,0.283,46.6,286.7,0.301,50.2,314.4,0.308,44.5,252.7,0.303,45.3,294,0.331,44.1,338.7,0.326,43.4,369.5
0.271,52.3,392.8,0.288,47.6,239.1,0.302,49,342.5,0.309,47.3,280.9,0.313,45.9,409.6,0.333,43.8,274.4,0.332,43.7,284.2
0.281,51.7,258.5,0.292,46.4,244.1,0.312,49.9,285.6,0.312,45.9,264.7,0.315,47.1,300.9,0.344,45,299.1,0.341,42.7,351.1
0.281,51.7,258.5,0.298,46.5,235.6,0.333,46.2,301.5,0.328,46.3,257.7,0.326,44,270.6,0.356,44.5,342,0.345,40.4,230.7
0.292,48.8,239.6,0.298,47.2,267.4,0.334,47,287.3,0.328,48.5,361.3,0.327,45.4,256,0.356,44.5,342,0.347,42,277.5
0.303,46.9,238.3,0.3,50,280.3,0.354,49.3,258.9,0.329,46.2,253.5,0.329,43.6,266.2,0.356,44,301.1,0.348,39.2,234
0.309,49.4,224.3,0.304,45.8,223.5,0.357,49.7,268.1,0.33,42.5,220.3,0.337,43.8,267.3,0.373,41.7,206.2,0.349,39.1,135.6
0.314,46.1,186.3,0.304,44.7,207,0.36,47.8,241.5,0.335,47.6,313.6,0.337,50,328.4,0.385,42.1,271,0.351,45,384.5
0.316,49.8,245.6,0.318,48.1,206.2,0.364,49.1,254.3,0.339,44.1,242.4,0.339,48.3,308.4,0.392,44.5,274.7,0.362,42.6,276
0.321,45.9,212.7,0.322,45.5,186.1,0.379,48.3,215,0.35,43.8,239.5,0.34,46.6,244.4,0.399,46.3,274.3,0.365,41.7,278.2
0.326,47.4,203.1,0.324,46.6,191.4,0.38,45.2,196.5,0.351,41.7,205.2,0.343,46.7,275.3,0.401,42.9,216.5,0.37,39.6,211.6
0.33,47.3,223.3,0.328,44.5,178.5,0.396,47.6,203.8,0.359,43.6,225.2,0.361,46.4,268.7,0.402,45,271.8,0.37,41.7,240.9
0.335,48.8,224.5,0.333,45.1,181.5,0.404,46.8,203,0.369,45.4,234.2,0.363,44.8,236.4,0.406,43.6,225.7,0.376,41.1,243.8
0.34,46.8,187.6,0.336,49.1,232.5,0.406,47.9,233,0.374,42.9,210.7,0.371,44.8,238.2,0.407,41.9,200.7,0.377,45.6,336.2
0.343,45.1,182.7,0.343,41.4,157.7,0.416,48.7,207.8,0.387,43.6,185.7,0.379,44.6,220.5,0.41,45.6,233.2,0.378,43.4,324.6
0.348,45.9,184.2,0.344,46.4,173.9,0.416,44.3,171.2,0.393,46,195.4,0.389,44.1,202.1,0.41,40.2,190,0.378,42.6,305.5
0.35,48,192.9,0.347,46.6,183.2,0.42,45.2,170.2,0.407,40.5,154.9,0.397,44.4,180.8,0.416,44.8,227,0.389,42.4,257
0.355,48.1,221.4,0.349,47.2,202.1,0.422,45,194,0.407,43.9,161.3,0.402,44.2,212.7,0.42,43.2,237.9,0.398,43.4,275.4
0.361,47.7,213.8,0.353,47.3,198.1,0.43,46,176.5,0.41,44.3,180.6,0.405,46,198.3,0.432,39.2,151.1,0.402,46.7,310.5
0.361,51,224.8,0.356,47.8,201.6,0.442,46.9,212.4,0.418,43,157.5,0.411,46.2,201.9,0.437,40.8,197.1,0.407,40.5,231.1
0.363,46.3,184.8,0.359,46.9,153.8,0.448,45.4,157.9,0.422,44,177.3,0.412,46.2,192.8,0.438,46.4,243.4,0.42,39.4,207.7
0.363,47.5,193.7,0.36,43.7,170.4,0.45,46.8,165.1,0.423,43.5,170.1,0.413,45,185.1,0.439,38.4,115.3,0.426,40,208.3
0.367,49.2,197.2,0.361,45.1,174.4,0.452,47.5,177.5,0.438,43.6,191.8,0.413,47.8,199.5,0.439,42.5,181.7,0.427,38.4,205.5
0.373,46.4,179.8,0.363,43.8,164.5,0.454,48.2,184.4,0.444,43,154.9,0.414,42.6,176.1,0.442,44,219.7,0.433,43.7,247.1
0.381,48.3,155.9,0.369,40.9,157.5,0.456,49.7,185,0.453,41.6,136.1,0.416,45.4,188.1,0.446,46,240,0.435,42.3,249.4
0.393,47.5,187.8,0.374,45.9,180.3,0.46,43.4,129.1,0.455,43.1,146.1,0.418,47.3,210.7,0.446,45,197.6,0.436,40.6,171.8
0.403,47.4,151.2,0.382,46.8,187.2,0.463,45.6,154.9,0.457,42.6,161.2,0.422,45.7,151,0.451,44.6,212.3,0.444,39.9,192.8
0.406,43.6,107.5,0.382,45.2,170.4,0.471,43.8,148.8,0.458,41.7,125.8,0.424,45.4,159.5,0.457,44,192,0.445,39.5,186.8
0.409,44.9,129,0.39,43.7,151.6,0.474,44.5,138.7,0.459,44.6,163.8,0.424,44.7,156.9,0.463,42.4,171.2,0.449,43.2,189.6
0.419,46.5,153.2,0.395,44.6,165,0.485,45.4,131.3,0.464,46.2,168.9,0.434,44.6,179.1,0.464,43.2,189.6,0.454,37.5,134.8
0.421,48.3,149.1,0.398,44,133.8,0.491,45.6,150.3,0.465,43,144.7,0.438,46.7,169.4,0.465,42.7,190.4,0.458,39.7,202.5
0.424,46.6,160.7,0.398,45.5,136.2,0.495,43,116.1,0.467,44.6,164.8,0.442,44.2,146.3,0.468,44,166,0.461,39.9,167
0.431,47.1,173,0.405,46.9,167.7,0.496,43.4,118,0.467,45.3,169.9,0.443,43.1,130.9,0.47,43.9,218,0.472,40.6,150.2
0.436,47,161.3,0.407,43,124.4,0.504,43.5,123.7,0.468,41.4,128.5,0.443,44,153.1,0.472,40.2,125.8,0.482,35.8,114.2
0.446,47.8,163.9,0.413,46.4,166.3,0.509,42.7,117.1,0.471,44.6,162.9,0.447,45.2,157.3,0.475,40.6,134.2,0.483,39.4,143.6
0.447,44.5,116.9,0.415,45.1,134.5,0.515,42.6,117.4,0.473,42.9,142.2,0.448,43.7,134,0.483,41.6,178,0.487,41.3,155.7
0.45,51.4,190.9,0.42,43.6,116.7,0.519,44.9,129,0.473,42.6,153.4,0.455,43.5,129.3,0.487,42.8,166.6,0.494,40,138.8
0.452,46.1,130.4,0.424,47.2,168,0.522,43.6,119.1,0.476,41.1,134.7,0.458,45.5,161.5,0.49,44.8,196.4,0.5,40.8,185.4
0.452,46.1,130.4,0.424,47.2,168,0.522,43.6,119.1,0.476,41.1,134.7,0.458,45.5,161.5,0.49,44.8,196.4,0.5,40.8,185.4
0.464,47.7,154.4,0.427,45.6,140.1,0.53,43.3,103.4,0.481,42.8,132.6,0.46,44.6,167.2,0.494,42.7,158.3,0.507,41.4,218
0.467,47.4,132.8,0.43,45.7,137.8,0.532,45.7,139.5,0.493,41.8,145.1,0.462,46.8,165.7,0.502,39.5,95.7,0.508,35.8,123.4
0.47,45.7,131.9,0.432,45.4,117,0.533,45.6,137.3,0.496,41.4,103.7,0.465,45.5,135.6,0.504,40.6,135.3,0.508,39.9,124
0.474,43.6,122.7,0.432,45.3,137,0.539,43.5,103.8,0.496,42.8,151.4,0.47,45.1,145.8,0.507,43.8,159.5,0.52,37.6,113.7
0.474,43.2,99,0.443,44.4,122.6,0.55,43.3,121.8,0.499,40.8,131.8,0.472,44.2,139.4,0.507,49.2,232.7,0.52,41.8,158.9
0.475,44.1,96.7,0.449,46.8,153,0.559,46.9,158.6,0.505,39.2,122.9,0.474,46.6,167.7,0.51,40.2,131.7,0.529,40.4,136.2
0.475,47.7,135.2,0.457,45,99.9,0.56,45.6,138.3,0.505,42.8,136.5,0.477,41.9,99.3,0.511,41.6,136.9,0.529,37.9,105.2
0.478,45.5,113.1,0.458,44.3,118.8,0.571,43.7,93.3,0.511,45.1,133.8,0.491,45.8,140.5,0.519,41.5,138,0.536,38.5,127
0.478,48.2,136.9,0.465,43.7,123.4,0.581,45,132.3,0.512,42.1,120.5,0.491,46.2,150.9,0.519,43.2,141.9,0.536,36.9,135.9
0.479,44.5,114.3,0.466,45,125.6,0.652,52.8,59.2,0.534,41.9,118.5,0.495,45,138.5,0.52,47.2,164.6,0.539,36.3,109.1
0.482,44.1,110.7,0.467,43.1,104.3,0.713,55.9,60.4,0.537,40.8,111,0.498,45.1,133.2,0.522,40.4,126.5,0.552,36.3,116.5
0.484,48.4,135.9,0.473,44.7,112.5,0.76,53.9,55.1,0.538,42.9,90.1,0.502,42,107.2,0.529,40.8,133.1,0.554,40.1,133.5
0.488,46.7,127.2,0.477,44.6,141.2,,,,0.548,44.9,134.8,0.505,42.5,103.2,0.536,42.2,138,0.554,39.9,143.8
0.489,44.5,111.2,0.481,40.9,111,,,,0.552,42.6,93.8,0.507,41.9,99.9,0.543,42.6,165.1,0.556,36.3,122.8
0.502,47.1,142.2,0.486,45,105.1,,,,0.567,43,151.3,0.507,43.2,111.6,0.544,39.6,117.7,0.562,36.9,117.4
0.502,43.7,101.2,0.513,46.3,87.3,,,,0.573,42.3,96,0.513,44,123.9,0.544,42.4,146.2,0.568,43.5,211.3
0.512,46.1,122.3,0.53,45.2,89.6,,,,0.583,42.3,146.9,0.517,43.1,118.8,0.551,43.6,147.4,0.58,40,96.4
0.519,42.4,90.7,0.531,44.4,82.3,,,,0.591,44.6,89,0.518,44.4,125.8,0.558,41.9,139,0.584,38.3,95.4
0.55,44.6,116.1,0.584,46.1,73.3,,,,0.608,42.7,83.3,0.521,43.3,108.3,0.559,42.5,144.5,0.586,41.2,143.8
0.568,45.3,81.5,0.65,50.6,56.4,,,,0.618,43.2,71.5,0.522,44.9,135,0.567,37.4,104.2,0.593,40.1,129.5
0.597,44.2,72.8,0.667,48.2,53.2,,,,,,,0.522,45.1,120.1,0.569,44.2,151.4,0.6,38.8,92.2
0.602,52.2,158.8,,,,,,,,,,0.525,42.5,110.2,0.584,39.8,114.5,0.622,38.8,115.2
0.641,43.7,66.8,,,,,,,,,,0.526,43.8,114,0.585,41.4,112.6,0.691,52.7,67.1
,,,,,,,,,,,,0.529,39.5,95.7,0.598,44.7,147.9,0.715,43.9,61.5
,,,,,,,,,,,,0.531,42.6,101,0.602,46.5,108.5,0.719,44.7,68
,,,,,,,,,,,,0.533,43.6,94.1,0.612,39.2,118.4,,,
,,,,,,,,,,,,0.54,43.8,121.5,0.613,42.2,146.6,,,
,,,,,,,,,,,,0.541,43.7,111.3,0.627,40.4,93,,,
,,,,,,,,,,,,0.543,42.1,89.8,0.667,42,85.7,,,
,,,,,,,,,,,,0.546,43.4,114.6,0.668,38,110.1,,,
,,,,,,,,,,,,0.546,42.1,86.6,0.704,41.9,79.9,,,
,,,,,,,,,,,,0.55,42.1,83,0.727,46.4,63.9,,,
,,,,,,,,,,,,0.552,39.3,81.6,,,,,,
,,,,,,,,,,,,0.559,42.9,87.3,,,,,,
,,,,,,,,,,,,0.567,41.5,103.5,,,,,,
,,,,,,,,,,,,0.57,43.3,92.7,,,,,,
,,,,,,,,,,,,0.577,43.6,113.4,,,,,,
,,,,,,,,,,,,0.586,44,82,,,,,,
,,,,,,,,,,,,0.595,41.2,91.1,,,,,,
,,,,,,,,,,,,0.606,42.1,74.3,,,,,,
,,,,,,,,,,,,0.608,47.5,142.2,,,,,,
,,,,,,,,,,,,0.619,46,65.5,,,,,,
,,,,,,,,,,,,0.642,45.4,61.3,,,,,,
